Model,Accuracy,ROC_AUC
Logistic Regression,0.9929078014184397,1.0
Decision Tree,0.8368794326241135,0.8053142565150742
Random Forest,0.9361702127659575,0.9908022483392949
SVM,0.9574468085106383,0.9974450689831375
XGBoost,0.9787234042553191,0.99795605518651
