,CV Accuracy,CV Precision,CV Recall/Sensitivity,CV F1,CV ROC-AUC,CV PR-AUC,CV ROC-AUC Std
Logistic Regression,0.9982300884955752,1.0,0.9933333333333334,0.9966101694915255,1.0,1.0,0.0
Decision Tree,0.8969342604298356,0.801924178762414,0.8208602150537635,0.8101074453910939,0.8727868515762498,0.70689951625552,0.02981137185497115
Random Forest,0.9573640960809102,0.9639682539682539,0.8741935483870968,0.9160970994512475,0.9925608492190635,0.9802706982990574,0.0029001701621371905
SVM,0.9804361567635903,0.9862068965517242,0.9404301075268817,0.9627079680498735,0.9982254430783717,0.9954252165415495,0.0010473718919932957
XGBoost,0.9733407079646017,0.9595402298850575,0.9402150537634408,0.9497156617578957,0.9970924453123272,0.9923566466030941,0.001721852758650629
