Fold A,Fold B,Rank Correlation
1,2,0.8844616779243177
1,3,0.9188647644737279
1,4,0.9112856426497079
1,5,0.9080584518494518
2,3,0.8897901765479731
2,4,0.8642522236445906
2,5,0.8456116692033488
3,4,0.8975880936657573
3,5,0.8981078067667365
4,5,0.8860722853867868
