,cat__austim_no,cat__austim_yes,cat__contry_of_res_Afghanistan,cat__contry_of_res_AmericanSamoa,cat__contry_of_res_Angola,cat__contry_of_res_Argentina,cat__contry_of_res_Armenia,cat__contry_of_res_Aruba,cat__contry_of_res_Australia,cat__contry_of_res_Austria,cat__contry_of_res_Azerbaijan,cat__contry_of_res_Bahamas,cat__contry_of_res_Bangladesh,cat__contry_of_res_Belgium,cat__contry_of_res_Bolivia,cat__contry_of_res_Brazil,cat__contry_of_res_Burundi,cat__contry_of_res_Canada,cat__contry_of_res_Chile,cat__contry_of_res_China,cat__contry_of_res_Costa Rica,cat__contry_of_res_Cyprus,cat__contry_of_res_Czech Republic,cat__contry_of_res_Ecuador,cat__contry_of_res_Egypt,cat__contry_of_res_Ethiopia,cat__contry_of_res_Finland,cat__contry_of_res_France,cat__contry_of_res_Germany,cat__contry_of_res_Hong Kong,cat__contry_of_res_Iceland,cat__contry_of_res_India,cat__contry_of_res_Indonesia,cat__contry_of_res_Iran,cat__contry_of_res_Iraq,cat__contry_of_res_Ireland,cat__contry_of_res_Italy,cat__contry_of_res_Japan,cat__contry_of_res_Jordan,cat__contry_of_res_Kazakhstan,cat__contry_of_res_Lebanon,cat__contry_of_res_Malaysia,cat__contry_of_res_Mexico,cat__contry_of_res_Nepal,cat__contry_of_res_Netherlands,cat__contry_of_res_New Zealand,cat__contry_of_res_Nicaragua,cat__contry_of_res_Niger,cat__contry_of_res_Oman,cat__contry_of_res_Pakistan,cat__contry_of_res_Philippines,cat__contry_of_res_Portugal,cat__contry_of_res_Romania,cat__contry_of_res_Russia,cat__contry_of_res_Saudi Arabia,cat__contry_of_res_Serbia,cat__contry_of_res_Sierra Leone,cat__contry_of_res_South Africa,cat__contry_of_res_Spain,cat__contry_of_res_Sri Lanka,cat__contry_of_res_Sweden,cat__contry_of_res_Tonga,cat__contry_of_res_Turkey,cat__contry_of_res_Ukraine,cat__contry_of_res_United Arab Emirates,cat__contry_of_res_United Kingdom,cat__contry_of_res_United States,cat__contry_of_res_Uruguay,cat__contry_of_res_Viet Nam,cat__ethnicity_?,cat__ethnicity_Asian,cat__ethnicity_Black,cat__ethnicity_Hispanic,cat__ethnicity_Latino,cat__ethnicity_Middle Eastern,cat__ethnicity_Others,cat__ethnicity_Pasifika,cat__ethnicity_South Asian,cat__ethnicity_Turkish,cat__ethnicity_White-European,cat__ethnicity_others,cat__gender_f,cat__gender_m,cat__jundice_no,cat__jundice_yes,cat__relation_?,cat__relation_Health care professional,cat__relation_Others,cat__relation_Parent,cat__relation_Relative,cat__relation_Self,cat__used_app_before_no,cat__used_app_before_yes,num__A10_Score,num__A1_Score,num__A2_Score,num__A3_Score,num__A4_Score,num__A5_Score,num__A6_Score,num__A7_Score,num__A8_Score,num__A9_Score,num__age
Fold_1,0.014202414099785362,0.014175806224029829,0.005011358102538623,0.0,0.0,0.0,0.0,0.0,0.008216196547832786,0.0007732531287343027,0.0,0.0,0.0007846890181290912,0.0008539002278064342,0.0,0.0026743776441227186,0.0007158543111045192,0.005638812968954572,0.0,3.8746268607319e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004405445786408983,1.3485233637779319e-05,0.0,0.0008124436733864406,0.07182918284236191,0.0,0.0006907294624706336,0.0,8.858120593917476e-05,0.002087883887596974,0.0,0.041369261913741226,3.144649486153573e-06,0.0,0.002655218903888725,0.0021399531634488313,0.0008964325727945533,0.00201441003094534,0.013010704473949891,0.0,0.0,0.0,0.00016564426149079912,0.001411681976505865,0.0,2.563095036902754e-05,0.008023503065287436,0.0,0.0,0.0,0.0,0.0,0.008343152252416946,0.0,0.0,6.446452509974697e-07,1.4175046322107535e-06,0.036460501836745686,0.012776612000809956,0.008815629305033984,0.0,0.002134767207219095,0.01447457566806164,0.09694889372468107,0.038013161384655096,0.008089077511470226,0.0027956538136409653,0.05184609734875023,0.0042032884007917925,0.0004774645652293276,0.008222949994782151,5.651505522011483e-06,0.014552410988287,0.0,0.059299581452251435,0.05937503997565454,0.007979610417865143,0.008003725476953515,0.01447457566806164,0.000584803633239535,0.001281279884124494,0.010898776463345451,0.003235780727290679,0.08928936433767293,0.011451254788168986,0.011444717831157872,1.5039931535475846,1.5227775743326468,1.572340910260579,1.4593566645605154,1.6125145618957315,1.80287836200502,1.3467969126233665,1.7153293874939353,1.4634307604525876,1.7136135501057175,0.042688781074890596
Fold_2,0.013360662563448734,0.013108110057889144,0.00310394553085778,0.0016794528178372052,0.0,0.0,4.700100364153576e-06,0.0,0.0007605707526448086,0.001599448362713022,0.0,0.0,0.0,0.0009165791577661376,0.0,0.0026134620480866046,0.0,0.0018920881438085004,0.0,1.2924642462321507e-05,0.0,0.0,0.0,0.0,0.0,1.8194022871844514e-06,1.0340266113650824e-05,5.30658296459343e-05,0.0,0.0,0.00038380663173742663,0.04913033183713216,0.0,0.0013377505285688796,0.0,1.896348174410112e-05,0.0016412353130523514,0.0,0.03983719497517359,8.123898408851258e-06,0.0,0.00257006623272174,0.0016144442045224537,0.0012465594986616282,0.0017991410139716452,0.012646734985573239,0.0,0.0,0.0,0.0,0.0030161491021213718,0.0,0.0,0.006098514645108449,0.001622281905095475,0.0,0.0,0.0,0.0,0.005132900920530171,0.0017385945528645428,0.0,0.0,8.293829595775273e-07,0.0237994651522581,0.09625075789804796,0.03163348606373337,0.0,0.0022148373002385535,0.0012273432552530519,0.03833488176145143,0.02386837385642267,0.007648041638445574,0.002023203193983117,0.08143837466826535,0.007808652277374651,0.0002376068771661758,0.020672738280496285,3.535642718695495e-06,0.1448640214274777,4.6606582248605545e-05,0.001746773706738813,0.002397301550480893,0.014540260115300104,0.014358823477732114,0.0012273432552530519,0.0,0.0006550094605678873,0.013229301524607296,0.011823245233505855,0.021241175371100336,5.4611691680430965e-05,2.9192220409255227e-06,1.605954468207849,1.555895443458378,1.4263158753714404,1.5177617645660324,1.7133704106622372,1.8937288604348352,1.268289248152598,1.6573077023508007,1.3872236838003265,1.487986568435737,0.04193243447863868
Fold_3,0.023213535031168124,0.02443466879617513,0.013887841206748764,0.0006415500769706866,0.0,0.00014722632564642232,7.270534241318933e-07,0.0,0.007783144877552375,2.2050982016461182e-07,0.0,0.0018197518884532568,0.002385946742772932,0.0,0.0,7.807587809012156e-05,0.0,0.00825894212266605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01259206747532235,9.81245838295546e-06,0.0,0.0006381083922330373,0.06514767934082971,0.0,4.160520862560794e-05,0.0,0.00010615749010009153,0.0010822672817411363,0.0,0.038448761403099926,0.0,0.0,0.005766671784698557,0.00369428774252998,0.001474246477452598,0.006827076224078809,0.03101628814834245,0.0,0.0,0.0,0.001226395327873409,5.132245491611073e-06,0.0,1.842813884342291e-06,0.0031840179836155496,0.001082324942724561,0.0,0.0,3.3750295132872485e-06,0.0,0.007949841004554621,0.0012947456550942698,0.0,0.0,0.0,0.026597796217921424,0.10569032155101739,0.005451655749624751,0.0,0.0022109463290157488,0.011177813491762821,0.05914586419451059,0.01491553020430592,0.0026981658173131262,0.018345700673265967,0.10221817416109441,0.0003090610104499324,0.0005825855205353585,0.02373592821951793,1.1316140060641046e-05,0.10737341515113644,0.0,0.037268861305198624,0.03986188153967681,0.0068690493112554115,0.007873084438294207,0.011177813491762821,0.0,0.00011902850802854916,0.008660436488477004,0.012714305102030725,0.09998008511967943,0.003976809183763926,0.00388871652761038,1.3862079869281045,1.2088473604758083,1.3316282452310393,1.588227112222796,1.8519343706726525,1.776799836052952,1.48918671748221,1.508634104847313,1.5282930599941889,1.5895116993930072,0.07484925190782696
Fold_4,0.002261513493906667,0.0014022610074884091,0.012298023664789185,2.8910904930133665e-06,0.0,0.00011552983005942526,0.0,0.0,0.004628487757670706,0.0009835893514002184,0.0,0.0,0.0,4.123103679625648e-06,0.0,0.005916115052804541,0.0,0.015175046358058867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6087110449828665e-06,0.0,0.006883306069546862,2.60564741865184e-05,0.0,0.0006969362025688678,0.0364702954802073,0.0,0.0034584285695275314,0.0,8.053729930868375e-05,0.002087294082685266,0.0,0.06182503839095345,3.298794830551047e-06,0.0,0.005669356144438715,1.3327000187894518e-05,0.0,0.002122047317259245,0.025217621880690197,2.4638568247590774e-06,0.0,0.0,0.0011928410277473312,0.004531109050347712,0.0,0.0,0.008418779686716027,0.0014805910046251643,0.0,0.0,6.111523925686206e-06,5.471342126186116e-05,0.004071056463623043,0.0,0.0,0.0,0.0,0.038692797971862876,0.028929733577574737,0.00035989380521744683,0.0,0.007943910708585198,0.02401420657256853,0.10402152128416596,0.0027167324467995617,0.006023834807527824,0.009741369016517412,0.03234604354372241,0.012831901712151967,0.00018053920230600765,0.009519348927824908,0.0,0.06082323109580321,0.0,0.059100327029819294,0.0674030073138507,0.006743358005078815,0.004074639342354266,0.02401420657256853,4.761648099105905e-06,0.001922984984190014,0.001961549386891433,0.0004107479871403972,0.08512267772348432,0.00661222198817705,0.006217246937962671,1.3979358329103575,1.4195861053878056,1.5969935259096246,1.4791321759910483,1.784150569539391,1.8988056044304478,1.319115530113545,1.5958357543454333,1.5105614139477086,1.6118123033884926,0.004755650699480924
Fold_5,0.028989336600038534,0.026000314229820503,0.007774190073034562,0.0010877335553982372,0.0,0.0,0.0,0.0,0.003158805493939291,0.000953956605312471,0.0,0.0,0.000618094989663794,0.003066586807305312,0.0,0.004580418022797794,0.0,0.002507624957545346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.315735187042532e-06,1.6318113825051105e-05,0.011844393751167297,6.104510518999629e-05,0.0,6.870533954698234e-06,0.030539383126583792,0.0,0.0009511802108488685,0.0,0.00011198359953034434,0.0,0.0,0.043040590677154676,0.0,0.0,0.0016746330694018595,0.0007474168057894546,0.0,0.010349047069412136,0.022559693624691995,0.0,0.0,0.0,0.002119650186268602,0.0,0.0,2.659550540601036e-05,0.0037086916314704016,7.677463688558364e-05,0.0,0.0015506446711812038,0.0,3.9904574211631676e-05,0.00015793599176826641,2.0863154803825266e-05,0.0,2.559276844334856e-06,0.0,0.0021326104552709378,0.029041304838344908,0.021048752915469628,4.824603580388304e-06,0.00010085614135845132,0.04308851314004905,0.020531211747336926,0.024194748495429838,0.0007879696661573792,0.006507594097815316,0.029022634563133674,0.00493761478134264,0.0006886420232865937,0.012019242140019787,1.916753327112741e-05,0.08859990519518723,0.0,0.09522883559091568,0.10069362962164302,0.011997523573904377,0.010431250891389177,0.04308851314004905,0.0006426132312402169,0.0013424691773821391,0.013982663203898366,0.012909106097570167,0.15080853360577237,0.007029599252435776,0.006767513783648409,1.2775943767233204,1.4730423138581779,1.4179186124962453,1.4611543778206375,1.5571127471615587,1.8139819326947135,1.2793855970591428,1.8160056891797112,1.3947152443987643,1.5352852352676831,0.005365359499315389
