Experiment,Feature_Count,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
A1-A10 ONLY,10,1.0,1.0,1.0,1.0,1.0,1.0
FULL FEATURES WITHOUT result/age_desc,18,0.9929078014184397,1.0,0.9736842105263158,0.9866666666666667,1.0,0.9999999999999999
