Metric,Value
Mean Majority Agreement Rate,0.95177304964539
Complete Agreement Rate,0.7943262411347518
High Agreement Rate,0.9645390070921985
Model Disagreement Rate,0.20567375886524822
Mean Probability Standard Deviation,0.09117549479265026
